UIC;Gare enquêtée;Classe distance gare gare;POURCENTAGE;Année
300863.0;Besançon Franche-Comté TGV;Moins de 25 km;11.0;2015
318964.0;Avignon TGV;100 à 150 km;1.0;2015
313874.0;Amiens;400 à 500 km;0.0;2015
300822.0;Belfort Montbéliard TGV;100 à 150 km;14.0;2015
192039.0;Metz;250 à 300 km;22.0;2016
411017.0;Rouen Rive Droite;150 à 200 km;4.0;2014
444000.0;Caen;Plus de 500 km;3.0;2012
444000.0;Caen;150 à 200 km;32.0;2012
345025.0;Lens;50 à 75 km;1.0;2016
182063.0;Mulhouse;400 à 500 km;2.0;2014
171009.0;Reims;75 à 100 km;12.0;2016
171009.0;Reims;50 à 75 km;2.0;2016
575001.0;Poitiers;75 à 100 km;8.0;2015
471003.0;Rennes;300 à 400 km;33.0;2014
481002.0;Nantes;150 à 200 km;7.0;2014
478404.0;Laval;25 à 50 km;10.0;2011
723197.0;Lyon Part Dieu;200 à 250 km;3.0;2011
747006.0;Grenoble;200 à 250 km;1.0;2015
753657.0;Arles;150 à 200 km;1.0;2014
755009.0;Toulon;150 à 200 km;1.0;2014
755009.0;Toulon;250 à 300 km;0.0;2014
773002.0;Montpellier Saint-Roch;300 à 400 km;5.0;2015
784009.0;Perpignan;250 à 300 km;1.0;2016
775007.0;Nîmes;400 à 500 km;2.0;2014
571000.0;Tours;Moins de 25 km;20.0;2016
784009.0;Perpignan;Plus de 500 km;18.0;2016
722025.0;Lyon Perrache;300 à 400 km;18.0;2011
722025.0;Lyon Perrache;75 à 100 km;5.0;2011
713040.0;Dijon;25 à 50 km;17.0;2015
476002.0;Lorient;50 à 75 km;12.0;2010
223263.0;Lille Europe;400 à 500 km;12.0;2013
223263.0;Lille Europe;50 à 75 km;4.0;2013
182014.0;Colmar;Moins de 25 km;22.0;2017
286005.0;Lille Flandres;150 à 200 km;2.0;2013
313874.0;Amiens;300 à 400 km;1.0;2015
751008.0;Marseille Saint-Charles;250 à 300 km;7.0;2013
751008.0;Marseille Saint-Charles;75 à 100 km;6.0;2013
751008.0;Marseille Saint-Charles;50 à 75 km;4.0;2013
319012.0;Aix en Provence-TGV;150 à 200 km;3.0;2015
318964.0;Avignon TGV;150 à 200 km;1.0;2015
755009.0;Toulon;Moins de 25 km;11.0;2014
757625.0;Cannes;150 à 200 km;0.0;2015
757625.0;Cannes;250 à 300 km;1.0;2015
756056.0;Nice;Moins de 25 km;49.0;2014
396002.0;Le Mans;Moins de 25 km;7.0;2015
118000.0;Troyes;400 à 500 km;1.0;2015
142109.0;Lorraine TGV;150 à 200 km;10.0;2017
142109.0;Lorraine TGV;100 à 150 km;16.0;2017
118000.0;Troyes;Moins de 25 km;2.0;2015
118000.0;Troyes;200 à 250 km;4.0;2015
773002.0;Montpellier Saint-Roch;250 à 300 km;6.0;2015
