UIC;Gare enquêtée;Fréquence;POURCENTAGE;Année
111849.0;Marne la Vallée Chessy;1 ou plusieurs fois par mois;11.0;2013
113001.0;Paris Est;Moins d'1 fois par mois;17.0;2012
300863.0;Besançon Franche-Comté TGV;Moins d'1 fois par mois;39.0;2015
345025.0;Lens;Moins d'1 fois par mois;9.0;2016
345025.0;Lens;Tous les jours de la semaine ou presque;58.0;2016
444000.0;Caen;1 à 2 fois par semaine;20.0;2012
478404.0;Laval;1 ou plusieurs fois par mois;18.0;2011
686006.0;Paris Gare de Lyon;1 à 2 fois par semaine;12.0;2012
751008.0;Marseille Saint-Charles;Moins d'1 fois par mois;25.0;2013
773002.0;Montpellier Saint-Roch;1 à 2 fois par semaine;15.0;2015
773002.0;Montpellier Saint-Roch;Moins d'1 fois par mois;26.0;2015
111849.0;Marne la Vallée Chessy;1 à 2 fois par semaine;8.0;2013
113001.0;Paris Est;Tous les jours de la semaine ou presque;55.0;2012
118000.0;Troyes;C'est la première fois;11.0;2015
182014.0;Colmar;1 à 2 fois par semaine;16.0;2017
192039.0;Metz;Moins d'1 fois par mois;18.0;2016
300822.0;Belfort Montbéliard TGV;1 ou plusieurs fois par mois;27.0;2015
300822.0;Belfort Montbéliard TGV;C'est la première fois;19.0;2015
313874.0;Amiens;Tous les jours de la semaine ou presque;64.0;2015
319012.0;Aix en Provence-TGV;Moins d'1 fois par mois;50.0;2015
345025.0;Lens;1 ou plusieurs fois par mois;13.0;2016
444000.0;Caen;;1.0;2012
444000.0;Caen;1 ou plusieurs fois par mois;13.0;2012
444877.0;Cherbourg;Tous les jours de la semaine ou presque;46.0;2015
476002.0;Lorient;1 ou plusieurs fois par mois;16.0;2010
575001.0;Poitiers;Tous les jours de la semaine ou presque;17.0;2015
583005.0;Angoulême;1 à 2 fois par semaine;21.0;2012
673004.0;Bayonne;1 ou plusieurs fois par mois;17.0;2013
677005.0;Hendaye;Tous les jours de la semaine ou presque;13.0;2016
713040.0;Dijon;Tous les jours de la semaine ou presque;34.0;2015
718007.0;Besançon-Viotte;1 ou plusieurs fois par mois;12.0;2012
755009.0;Toulon;1 ou plusieurs fois par mois;18.0;2014
775007.0;Nîmes;1 à 2 fois par semaine;14.0;2014
784009.0;Perpignan;C'est la première fois;11.0;2016
171009.0;Reims;C'est la première fois;6.0;2016
182014.0;Colmar;Tous les jours de la semaine ou presque;56.0;2017
182063.0;Mulhouse;1 ou plusieurs fois par mois;13.0;2014
182063.0;Mulhouse;Moins d'1 fois par mois;17.0;2014
286005.0;Lille Flandres;1 à 2 fois par semaine;15.0;2013
318964.0;Avignon TGV;1 ou plusieurs fois par mois;24.0;2015
384008.0;Paris St Lazare;Moins d'1 fois par mois;8.0;2013
444000.0;Caen;C'est la première fois;6.0;2012
471003.0;Rennes;C'est la première fois;12.0;2014
581009.0;Bordeaux Saint-Jean;1 ou plusieurs fois par mois;20.0;2014
686006.0;Paris Gare de Lyon;C'est la première fois;11.0;2012
723197.0;Lyon Part Dieu;1 à 2 fois par semaine;11.0;2011
723197.0;Lyon Part Dieu;Tous les jours de la semaine ou presque;34.0;2011
751008.0;Marseille Saint-Charles;C'est la première fois;13.0;2013
773002.0;Montpellier Saint-Roch;Tous les jours de la semaine ou presque;32.0;2015
775007.0;Nîmes;Moins d'1 fois par mois;26.0;2014
111849.0;Marne la Vallée Chessy;Moins d'1 fois par mois;54.0;2013
142109.0;Lorraine TGV;C'est la première fois;14.0;2017
286005.0;Lille Flandres;Tous les jours de la semaine ou presque;55.0;2013
300863.0;Besançon Franche-Comté TGV;1 ou plusieurs fois par mois;25.0;2015
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Moins d'1 fois par mois;29.0;2012
471003.0;Rennes;Moins d'1 fois par mois;25.0;2014
484006.0;Angers Saint Laud;1 à 2 fois par semaine;16.0;2015
611004.0;Toulouse Matabiau;Moins d'1 fois par mois;27.0;2014
673004.0;Bayonne;Moins d'1 fois par mois;19.0;2013
757625.0;Cannes;;0.0;2015
762906.0;Lyon Saint Exupery TGV;1 ou plusieurs fois par mois;25.0;2016
141002.0;Nancy;1 ou plusieurs fois par mois;15.0;2014
142109.0;Lorraine TGV;Moins d'1 fois par mois;55.0;2017
171009.0;Reims;1 à 2 fois par semaine;15.0;2016
212027.0;Strasbourg;1 ou plusieurs fois par mois;11.0;2016
271007.0;Paris Nord;;2.0;2012
271007.0;Paris Nord;1 ou plusieurs fois par mois;10.0;2012
271007.0;Paris Nord;C'est la première fois;11.0;2012
271007.0;Paris Nord;Tous les jours de la semaine ou presque;48.0;2012
286005.0;Lille Flandres;Moins d'1 fois par mois;15.0;2013
481002.0;Nantes;;3.0;2014
718007.0;Besançon-Viotte;;0.0;2012
755009.0;Toulon;C'est la première fois;7.0;2014
756056.0;Nice;Tous les jours de la semaine ou presque;46.0;2014
271494.0;Aéroport Charles de Gaulle 2 TGV;;4.0;2013
481002.0;Nantes;1 ou plusieurs fois par mois;22.0;2014
571000.0;Tours;1 ou plusieurs fois par mois;16.0;2016
677005.0;Hendaye;Moins d'1 fois par mois;33.0;2016
713040.0;Dijon;C'est la première fois;6.0;2015
747006.0;Grenoble;1 à 2 fois par semaine;18.0;2015
111849.0;Marne la Vallée Chessy;;1.0;2013
223263.0;Lille Europe;1 à 2 fois par semaine;14.0;2013
223263.0;Lille Europe;Moins d'1 fois par mois;30.0;2013
313874.0;Amiens;1 ou plusieurs fois par mois;8.0;2015
318964.0;Avignon TGV;Moins d'1 fois par mois;49.0;2015
319012.0;Aix en Provence-TGV;C'est la première fois;10.0;2015
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Tous les jours de la semaine ou presque;38.0;2012
583005.0;Angoulême;Tous les jours de la semaine ou presque;17.0;2012
673004.0;Bayonne;1 à 2 fois par semaine;16.0;2013
686006.0;Paris Gare de Lyon;1 ou plusieurs fois par mois;15.0;2012
747006.0;Grenoble;Tous les jours de la semaine ou presque;42.0;2015
751008.0;Marseille Saint-Charles;1 à 2 fois par semaine;12.0;2013
755009.0;Toulon;1 à 2 fois par semaine;23.0;2014
111849.0;Marne la Vallée Chessy;C'est la première fois;22.0;2013
182014.0;Colmar;Moins d'1 fois par mois;11.0;2017
182063.0;Mulhouse;1 à 2 fois par semaine;17.0;2014
393702.0;Massy TGV;C'est la première fois;23.0;2013
575001.0;Poitiers;C'est la première fois;12.0;2015
718007.0;Besançon-Viotte;C'est la première fois;4.0;2012
755009.0;Toulon;Moins d'1 fois par mois;29.0;2014
763029.0;Valence TGV Rhône-Alpes Sud;C'est la première fois;11.0;2015
142109.0;Lorraine TGV;1 ou plusieurs fois par mois;14.0;2017
182063.0;Mulhouse;C'est la première fois;6.0;2014
319012.0;Aix en Provence-TGV;1 ou plusieurs fois par mois;25.0;2015
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;1 à 2 fois par semaine;13.0;2012
393702.0;Massy TGV;Tous les jours de la semaine ou presque;8.0;2013
476002.0;Lorient;C'est la première fois;9.0;2010
581009.0;Bordeaux Saint-Jean;1 à 2 fois par semaine;14.0;2014
673004.0;Bayonne;C'est la première fois;25.0;2013
673400.0;Biarritz;1 ou plusieurs fois par mois;11.0;2016
723197.0;Lyon Part Dieu;Moins d'1 fois par mois;28.0;2011
757625.0;Cannes;C'est la première fois;16.0;2015
762906.0;Lyon Saint Exupery TGV;Tous les jours de la semaine ou presque;1.0;2016
763029.0;Valence TGV Rhône-Alpes Sud;Moins d'1 fois par mois;39.0;2015
775007.0;Nîmes;C'est la première fois;6.0;2014
118000.0;Troyes;Tous les jours de la semaine ou presque;35.0;2015
318964.0;Avignon TGV;C'est la première fois;11.0;2015
